2015-08-27 14:21:05,028 DEBUG | views | root | ** Leaving FUNC::::::: app.main.route.index
2015-08-27 14:21:05,054 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET / HTTP/1.1" 500 -
2015-08-27 14:21:05,093 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2015-08-27 14:21:05,096 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
2015-08-27 14:21:05,098 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2015-08-27 14:21:05,111 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2015-08-27 14:21:05,113 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=source.png HTTP/1.1" 200 -
2015-08-27 14:21:05,119 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:21:05] "GET /?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
2015-08-27 14:28:13,923 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:28:13,955 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:28:13,958 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:28:13,959 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:28:13,980 INFO | _internal | werkzeug |  * Running on http://0.0.0.0:4400/ (Press CTRL+C to quit)
2015-08-27 14:28:13,984 INFO | _internal | werkzeug |  * Restarting with stat
2015-08-27 14:28:14,297 DEBUG | __init__ | root | FUNC::::::: app.__init__.create_app()
2015-08-27 14:28:14,331 DEBUG | __init__ | root | FUNC::::::: app.auth.__init__
2015-08-27 14:28:14,335 DEBUG | __init__ | root | **Leaving FUNC::::::: app.auth.__init__
2015-08-27 14:28:14,337 DEBUG | __init__ | root | ** Leaving FUNC::::::: app.__init__.create_app()
2015-08-27 14:28:19,467 DEBUG | views | root | FUNC::::::: app.main.route.index
2015-08-27 14:28:19,467 DEBUG | views | root | ** Leaving FUNC::::::: app.main.route.index
2015-08-27 14:28:19,567 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:28:19] "GET / HTTP/1.1" 500 -
2015-08-27 14:28:19,579 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:28:19] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2015-08-27 14:28:19,581 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:28:19] "GET /?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
2015-08-27 14:28:19,583 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:28:19] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2015-08-27 14:28:19,596 INFO | _internal | werkzeug | 127.0.0.1 - - [27/Aug/2015 14:28:19] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
